,track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
100,For You,Staind,464HG7mt7NNKtKY0Hco8Y8,0.318,0.958,-2.683,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,4
101,Jaded,Aerosmith,4iihDHIoKZdOeOW1kFDUtR,0.517,0.89,-4.033,0.0539,0.005,1.47e-05,0.0824,0.632,118.009,4
102,Thank You,Dido,751gBcu62kORDelX7FV0mM,0.722,0.595,-9.928,0.0415,0.284,0.00054,0.0694,0.738,79.981,4
103,Warning,Green Day,0ue0gFLwvXd8qZIPg35Qiu,0.728,0.92,-2.828,0.0294,0.0673,1.61e-05,0.199,0.892,120.989,4
104,Crawling in the Dark,Hoobastank,1PJRDeZSoZk7gtisdTYfLi,0.588,0.927,-4.776,0.113,0.000305,3.83e-05,0.195,0.652,93.571,4
105,One Step Closer,Linkin Park,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
106,Duck and Run,3 Doors Down,0s8OsDxW96cl290PcsI2mX,0.524,0.919,-5.505,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,4
107,Control,Puddle of Mudd,575Sz3R4xOhueUstPObylF,0.444,0.913,-3.452,0.0992,0.00308,0,0.38,0.569,163.689,4
108,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
109,Alive,P.O.D.,0KSpHNE0VOgOh9esiCb0ut,0.409,0.952,-3.761,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,4
110,Follow Me,Uncle Kracker,4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,-4.688,0.0301,0.439,0,0.147,0.916,105.014,4
111,Breakdown,Tantric,6tpGF2kYnrqO0S44jKxduZ,0.569,0.945,-5.673,0.0503,0.00936,0,0.121,0.483,100.04,4
112,Wish You Were Here,Incubus,6KtLECDztnah63TNmV4Plw,0.246,0.768,-7.48,0.0387,0.000631,0.301,0.102,0.35,169.873,4
113,Crawling,Linkin Park,57BrRMwf9LrcmuOsyGilwr,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4
114,Fat Lip,Sum 41,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,-5.215,0.142,0.000579,0,0.065,0.626,196.505,4
115,My Way,Limp Bizkit,2gSVKxPDww9Eep5rdvtdem,0.576,0.864,-3.981,0.0462,0.02,1.68e-06,0.683,0.609,97.225,4
116,"Whenever, Wherever",Shakira,2lnzGkdtDj5mtlcOW2yRtG,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,4
117,Lickin',The Black Crowes,4hH5CgAmWOJXm1bnGkUOLM,0.745,0.685,-8.427,0.045,0.0018,0.0128,0.568,0.968,125.529,4
118,Hash Pipe,Weezer,2mPMFJvQ0v27gVqe5b6nDn,0.578,0.882,-6.354,0.044,0.000121,0.479,0.284,0.623,125.603,4
119,Defy You,The Offspring,5VBVIcMh6CWy8szP3U0Ttp,0.491,0.841,-3.651,0.0387,0.000609,2.4e-06,0.131,0.669,92.297,4
120,Nice to Know You,Incubus,77eRSoQbDt4qHlAhUqovmy,0.515,0.864,-5.384,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,4
121,Your Disease,Saliva,1SpjTDqWwEMche6JR9iOYz,0.376,0.963,-2.99,0.0782,9.31e-06,0.925,0.343,0.505,159.887,4
122,When It All Goes Wrong Again,Everclear,3HBaF3RNVlpO16QupGGRBZ,0.265,0.97,-4.841,0.123,5.88e-05,0.00227,0.294,0.272,197.937,4
123,Fade,Staind,70b6WxS0cjxbQqvdu4Q4Sa,0.471,0.846,-3.632,0.0416,0.00209,0.0369,0.126,0.255,116.469,4
124,The Rock Show,Blink-182,2ydUT1pFhuLDnouelIv4WH,0.41,0.959,-4.563,0.0869,0.000324,0,0.0766,0.83,193.155,4
125,Clint Eastwood,Gorillaz,7yMiX7n9SBvadzox8T5jzT,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,4
126,Greed,Godsmack,1POl67wsGLRP5e0oeZHUgh,0.518,0.744,-6.312,0.0428,1.65e-05,2.38e-05,0.147,0.679,102.887,4
127,Down with the Sickness,Disturbed,40rvBMQizxkIqnjPdEWY1v,0.695,0.876,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,4
128,Soul Singing,The Black Crowes,53iyt9vi8jhkOqpYVVwkf9,0.382,0.615,-11.285,0.037,0.0298,9.8e-05,0.228,0.578,168.614,4
129,Tainted Love,Marilyn Manson,0cOyhnhy13lc5G5nr4EF0q,0.637,0.95,-4.4,0.109,0.00104,7.35e-06,0.288,0.511,142.018,4
130,Hey Pretty,Poe,1IBEqJDBmNzoEiSBKaUvji,0.537,0.846,-6.656,0.0361,0.0469,0.00114,0.146,0.526,104.899,4
131,Last Nite,The Strokes,3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,-5.709,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4
132,Killing The Fly,The Union Underground,5soCqO6QzwbmjQNkqjDw4R,0.554,0.926,-5.17,0.0621,0.0115,0.0801,0.247,0.594,115.064,4
133,Chop Suey!,System Of A Down,2DlHlPMa4M17kufBvI2lEN,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066,4
134,The Hollow,A Perfect Circle,4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4
135,The One,Foo Fighters,1UbZVvN4mSOmDvn4er7IKB,0.511,0.95,-4.155,0.0725,0.001,1.44e-05,0.079,0.514,162.072,4
136,Days of the Week,Stone Temple Pilots,3gbSjtYQVoO9Zy9UZpsvFU,0.568,0.879,-4.694,0.0452,5.54e-05,1.81e-05,0.13,0.794,115.628,3
137,Gets Me Through,Ozzy Osbourne,4MN0ZmFppiiQsPE9HQKKsH,0.431,0.835,-6.162,0.0392,0.000623,0.000149,0.428,0.303,147.982,4
138,The Way You Like It,Adema,6adhpSbrhat9S0WEVjf4HP,0.424,0.936,-4.541,0.147,0.000249,0,0.0707,0.761,164.175,4
139,Hit Or Miss,New Found Glory,2JGfAzStXQ1VEo6H4l6rSR,0.418,0.986,-5.475,0.111,0.000157,0.000155,0.236,0.602,175.347,4
140,Voices,Disturbed,47H4oc7Zkihwae7ST7F4zp,0.589,0.983,-2.521,0.121,0.000116,0.00211,0.0628,0.469,110.007,4
141,Drops of Jupiter (Tell Me),Train,2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,-5.862,0.0276,0.153,0,0.154,0.497,79.064,4
142,Step Into The Light,Dust For Life,49oEfdO5AGInIfXoyud5eo,0.489,0.899,-4.56,0.035,7.22e-05,0.000351,0.324,0.511,141.915,4
143,Lateralus,Tool,7tvuLLroI0n6uYBWuFig5d,0.387,0.677,-8.399,0.084,0.00108,0.871,0.101,0.371,172.812,3
144,Digital Bath,Deftones,2jSJm3Gv6GLxduWLenmjKS,0.338,0.859,-4.938,0.0824,0.00122,0.211,0.0936,0.504,92.966,4
145,Rise,The Cult,1TbihmZ2BtE4JP6C85I0zZ,0.349,0.92,-3.44,0.0607,2.33e-05,0.0259,0.0365,0.417,148.521,4
146,Photograph,Weezer,4hA3OFMvHCFCK3TfJYdbif,0.463,0.899,-4.554,0.0459,9.33e-05,0.00145,0.395,0.404,124.796,4
147,Bodies,Drowning Pool,7CpbhqKUedOIrcvc94p60Y,0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
148,First Date,Blink-182,1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,-4.344,0.0411,0.000715,0,0.18,0.882,95.594,4
149,Elevation,U2,0RHPoliIwT6ddbPugZNitX,0.581,0.804,-8.093,0.0361,0.00105,0.000289,0.05,0.418,110.022,4
